,close,value
2005-03-25 00:00:00,,12.82
2005-04-01 00:00:00,,12.99
2005-04-08 00:00:00,,12.5
2005-04-15 00:00:00,,11.73
2005-04-22 00:00:00,,11.640000000000001
2005-04-29 00:00:00,,11.81
2005-05-06 00:00:00,,12.34
2005-05-13 00:00:00,,11.56
2005-05-20 00:00:00,,12.27
2005-05-27 00:00:00,,12.6
2005-06-03 00:00:00,,13.0
2005-06-10 00:00:00,,12.710000000000001
2005-06-17 00:00:00,,13.460000000000001
2005-06-24 00:00:00,,13.31
2005-07-01 00:00:00,,13.52
2005-07-08 00:00:00,,13.56
2005-07-15 00:00:00,,13.1
2005-07-22 00:00:00,,13.49
2005-07-29 00:00:00,,13.619999999999999
2005-08-05 00:00:00,,14.27
2005-08-12 00:00:00,,15.300000000000001
2005-08-19 00:00:00,,14.98
2005-08-26 00:00:00,,15.23
2005-09-02 00:00:00,,16.25
2005-09-09 00:00:00,,16.920000000000002
2005-09-16 00:00:00,,17.390000000000001
2005-09-23 00:00:00,,17.890000000000001
2005-09-30 00:00:00,,17.829999999999998
2005-10-07 00:00:00,,15.85
2005-10-14 00:00:00,,15.59
2005-10-21 00:00:00,,15.289999999999999
2005-10-28 00:00:00,,15.57
2005-11-04 00:00:00,,16.300000000000001
2005-11-11 00:00:00,,15.43
2005-11-18 00:00:00,,16.350000000000001
2005-11-25 00:00:00,,17.140000000000001
2005-12-02 00:00:00,,17.789999999999999
2005-12-09 00:00:00,,18.050000000000001
2005-12-16 00:00:00,,18.149999999999999
2005-12-23 00:00:00,,18.329999999999998
2005-12-30 00:00:00,,18.600000000000001
2006-01-06 00:00:00,,20.420000000000002
2006-01-13 00:00:00,,21.300000000000001
2006-01-20 00:00:00,,22.120000000000001
2006-01-27 00:00:00,,22.5
2006-02-03 00:00:00,,22.09
2006-02-10 00:00:00,,20.68
2006-02-17 00:00:00,,22.0
2006-02-24 00:00:00,,22.359999999999999
2006-03-03 00:00:00,,22.75
2006-03-10 00:00:00,,20.600000000000001
2006-03-17 00:00:00,,21.399999999999999
2006-03-24 00:00:00,,21.23
2006-03-31 00:00:00,,21.57
2006-04-07 00:00:00,,21.920000000000002
2006-04-14 00:00:00,,21.670000000000002
2006-04-21 00:00:00,,23.16
2006-04-28 00:00:00,,23.109999999999999
2006-05-05 00:00:00,,23.739999999999998
2006-05-12 00:00:00,,23.449999999999999
2006-05-19 00:00:00,,21.640000000000001
2006-05-26 00:00:00,,22.5
2006-06-02 00:00:00,,22.34
2006-06-09 00:00:00,,19.690000000000001
2006-06-16 00:00:00,,20.149999999999999
2006-06-23 00:00:00,,20.52
2006-06-30 00:00:00,,21.59
2006-07-07 00:00:00,,21.399999999999999
2006-07-14 00:00:00,,22.120000000000001
2006-07-21 00:00:00,,21.0
2006-07-28 00:00:00,,22.550000000000001
2006-08-04 00:00:00,,22.84
2006-08-11 00:00:00,,22.699999999999999
2006-08-18 00:00:00,,22.440000000000001
